judul_kegiatan,ms_keg_id,id_sds,nama,definisi,konsep,interpretasi,metode_perhitungan,rumus,ukuran,satuan,klasifikasi_penyajian,indikator_komposit,level_estimasi,bisa_diakses_umum
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Penduduk Berusia 10 (sepuluh) Tahun ke Atas yang Melakukan Olahraga,Persentase penduduk berusia 10 tahun ke atas yang berolahraga merupakan gambaran seberapa banyak penduduk yang melakukan aktivitas olahraga.,Olahraga,"Data ini menunjukkan tingkat partisipasi masyarakat DKI Jakarta berusia 10 tahun ke atas dalam kegiatan olahraga, yang mencerminkan kesadaran masyarakat akan pentingnya gaya hidup sehat dan aktivitas fisik.",Jumlah penduduk 10 tahun ke atas yang berolahraga dibagi jumlah penduduk DKI Jakarta dikali 100%.,\frac{Jumlahpenduduk10tahunkeatasyangberolahraga}{jumlahpendudukDKIJakarta}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Indeks Pembangunan Pemuda (IPP),"Data Pembangunan Pemuda (IPP) hadir sebagai ukuran yang dapat menggambarkan capaian pembangunan pemuda di Indonesia. IPP terdiri dari 5 domain pembangunan yang di dalamnya memuat 15 indikator pembangunan pemuda. Kelima domain tersebut adalah (1) domain pendidikan, (2) domain kesehatan dan kesejahteraan, (3) domain lapangan dan kesempatan kerja, (4) domain partisipasi dan kepemimpinan, serta (5) domain gender dan diskriminasi. (Dokumen Metadata Indikator RKP 2023 - EP4).",Organisasi,"Data IPP menunjukkan tingkat pembangunan pemuda di suatu wilayah, yang mencakup aspek pendidikan, kesehatan, ekonomi, dan partisipasi sosial. IPP dapat membantu dalam mengidentifikasi area yang perlu ditingkatkan untuk meningkatkan kualitas hidup pemuda.",Nilai indeks pembangunan pemuda,Nilaiindekspembangunanpemuda,Indeks,-,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal Keolahragaan,Jumlah organisasi keolahragaan berbasis Olimpik yang memenuhi standar minimal keolahragaan.,Olahraga|Organisasi,"Data ini menunjukkan tingkat kualitas organisasi keolahragaan berbasis olimpik, yang dapat membantu dalam meningkatkan prestasi olahraga dan pengembangan keolahragaan nasional.",Jumlah Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal,JumlahOrganisasiKeolahragaanBerbasisOlimpikyangMemenuhiStandarMinimal,Total,Organisasi,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Anggota Kepramukaan yang Meningkat Kapasitasnya,"Persentase anggota Pramuka yang meningkat kapasitasnya merupakan gambaran dari jumlah anggota pramuka yang melaksanakan pendidikan dan pelatihan dasar bagi Anggota Pramuka, dan diharapkan mampu memiliki karakter kepramukaan.",Organisasi,"Data ini menunjukkan tingkat peningkatan kemampuan anggota kepramukaan, yang dapat membantu dalam meningkatkan kualitas kepramukaan dan mengembangkan potensi anggota.",Jumlah Anggota Pramuka yang meningkat kapasitasnya (Mengikuti Kegiatan pembinaan yang dilakukan oleh Dinas Pemuda dan Olahraga dan Kwartir Daerah) dibagi seluruh Jumlah Anggota Pramuka DKI Jakarta dikali 100%.,\frac{JumlahAnggotaPramukayangmeningkatkapasitasnyaMengikutiKegiatanpembinaan}{seluruhJumlahAnggotaPramuka}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Cabang Olahraga yang Berprestasi,Persentase Cabang Olahraga yang diikuti dan mendapatkan medali.,Olahraga,"Data ini menunjukkan tingkat keberhasilan cabang olahraga dalam mencapai prestasi, yang dapat membantu dalam meningkatkan kualitas olahraga dan mengembangkan potensi atlet.",Jumlah Cabang Olahraga yang berprestasi (yang mendapatkan medali) dibagi dengan Jumlah Cabang Olahraga yang dipertandingkan x 100%.,\frac{JumlahCabangOlahragayangberprestasiyangmendapatkanmedali}{JumlahCabangOlahragayangdipertandingkan}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Kegiatan Olahraga Masyarakat,Jumlah kegiatan olahraga masyarakat.,Olahraga,Data ini menunjukkan tingkat partisipasi masyarakat dalam kegiatan olahraga yang mencerminkan kesadaran dan gaya hidup sehat masyarakat serta keberhasilan program olahraga pemerintah.,Jumlah kegiatan dan partisipan dihitung berdasarkan jenis olahraga dan lokasi.,Jumlahkegiatandanpartisipandihitungberdasarkanjenisolahragadanlokasi.,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Masyarakat Aktif Berolahraga,Jumlah Masyarakat aktif berolahraga,Olahraga,Data ini menunjukkan tingkat partisipasi masyarakat dalam kegiatan olahraga yang mencerminkan kesadaran masyarakat akan pentingnya gaya hidup sehat dan keberhasilan program olahraga pemerintah.,"Jumlah masyarakat aktif berolahraga dihitung berdasarkan jenis olahraga, usia, dan lokasi.",Jumlahmasyarakataktifberolahraga,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Nasional,Jumlah tenaga keolahragaan Olimpik/Paralimpik yang memiliki sertifikasi tingkat nasional.,Olahraga,"Data ini menunjukkan tingkat kualitas tenaga keolahragaan nasional yang memiliki sertifikat nasional, yang dapat membantu dalam meningkatkan prestasi olahraga dan mengembangkan olahraga nasional.",Jumlah tenaga keolahragaan olimpik/paralimpik yang bersertifikat nasional,Jumlahtenagakeolahragaanolimpik/paralimpikyangbersertifikatnasional,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Pemuda yang Berhasil dibina,Jumlah Pemuda yang berhasil dibina.,Organisasi,Data ini menunjukkan jumlah pemuda yang mencerminkan keberhasilan program pembinaan dan pengembangan kapasitas pemuda di daerah tersebut.,Jumlah pemuda yang berhasil dibina dihitung berdasarkan program pembinaan dan kategori pemuda.,Jumlahpemudayangberhasildibinadihitungberdasarkanprogrampembinaandankategoripemuda.,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Organisasi Pemuda yang Aktif dan Jumlah Anggotanya,Jumlah Organisasi Pemuda yang Aktif dan Jumlah Anggotanya,Organisasi,"Data ini menunjukkan tingkat partisipasi pemuda dalam organisasi, yang dapat membantu dalam meningkatkan kesadaran dan partisipasi pemuda dalam pembangunan bangsa.",Jumlah organisasi pemuda yang aktif dan jumlah anggotanya,Jumlahorganisasipemudayangaktifdanjumlahanggotanya,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Talenta Muda,Jumlah atlet yang memiliki potensi berprestasi di tingkat internasional,Olahraga,"Data ini menunjukkan tingkat potensi dan kemampuan muda dalam bidang tertentu, yang dapat membantu dalam meningkatkan pengembangan talenta dan prestasi di masa depan",Jumlah individu yang teridentifikasi sebagai talenta muda,Jumlahindividuyangteridentifikasisebagaitalentamuda,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Pemuda Hasil Binaan yang Berprestasi dalam Bidang yang Ditentukan,Persentase Pemuda Hasil Binaan yang Berprestasi dalam Bidang yang Ditentukan,Organisasi,"Data ini menunjukkan tingkat keberhasilan program binaan dalam meningkatkan prestasi pemuda, yang dapat membantu dalam meningkatkan kualitas sumber daya manusia dan mengembangkan potensi pemuda.",Jumlah Pemuda hasil binaan yang berprestasi dalam bidang yang ditentukan dibagi Jumlah Pemuda yang dibina dikali 100%.,\frac{JumlahPemudahasilbinaanyangberprestasidalambidangyangditentukan}{JumlahPemudayangdibina}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Sentra Pembinaan yang Telah Beroperasi di Daerah sesuai Desain Besar Olahraga,Jumlah sentra pembinaan yang telah beroperasi di daerah sesuai Desain Besar Olahraga.,Olahraga,Data ini menunjukkan tingkat ketersediaan fasilitas pembinaan olahraga di daerah yang dapat membantu dalam meningkatkan prestasi olahraga dan mengembangkan olahraga nasional.,Jumlah sentra pembinaan yang telah beroperasi di daerah,Jumlahsentrapembinaanyangtelahberoperasididaerah,Total,Unit,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Kegiatan Kepemudaan,Jumlah kegiatan kepemudaan.,Organisasi,"Data ini menunjukkan ragam kegiatan kepemudaan yang mencerminkan upaya pemerintah dalam memberdayakan dan mengembangkan potensi kaum muda di bidang sosial, budaya, olahraga, dan kewirausahaan.",Jumlah kegiatan dan partisipan dihitung berdasarkan jenis kegiatan dan lokasi.,Jumlahkegiatandanpartisipandihitungberdasarkanjeniskegiatandanlokasi.,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Kegiatan Organisasi Pemuda dan Olahraga,Jumlah kegiatan organisasi pemuda dan olahraga.,Olahraga|Organisasi,"Data ini menunjukkan tingkat partisipasi dan kegiatan organisasi pemuda dan olahraga, yang dapat membantu dalam meningkatkan kesadaran dan partisipasi masyarakat dalam kegiatan olahraga dan pengembangan diri.",Jumlah kegiatan organisasi pemuda dan olahraga.,Jumlahkegiatanorganisasipemudadanolahraga.,Total,Kegiatan,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Olahragawan Muda Cabang Olahraga Olimpik pada Olahragawan Andalan Nasional,Persentase olahragawan junior cabang olahraga Olimpik yang dibina pada pelatnas olahragawan andalan nasional.,Olahraga,"Data ini menunjukkan tingkat regenerasi olahragawan andalan nasional, yang dapat membantu dalam meningkatkan prestasi olahraga nasional dan mengembangkan potensi olahragawan muda.",Jumlah olahragawan junior/jumlah olahragawan olimpik x 100%,\frac{Jumlaholahragawanjunior}{jumlaholahragawanolimpik}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Persentase Olahragawan Andalan Nasional pada Cabang Olahraga Olimpik yang Merupakan Alumni Pusat Pelatihan Olahraga Pelajar (PPOP),Persentase olahragawan andalan nasional pada cabang olahraga Olimpik yang merupakan alumni Pusat Pelatihan Olahraga Pelajar (PPOP).,Olahraga,"Data ini menunjukkan tingkat keberhasilan PPOP dalam menghasilkan olahragawan andalan nasional, yang dapat membantu dalam meningkatkan prestasi olahraga nasional dan mengembangkan potensi olahragawan muda.",Jumlah andalan/ jumlah alumni x 100%,\frac{Jumlahanandalan}{jumlahalumni}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Angka Partisipasi dan Kepemimpinan Pemuda,"Bedasarkan Permenpora Nomor 0059 Tahun 2013 tantang Pengembangan Kepemimpinan Pemuda, kepemimpinan pemuda adalah kegiatan mengembangkan potensi keteladanan, keberpengaruhan, serta penggerakan pemuda yang dilaksanakan secara sistematis dan berkelanjutan untuk mengembangkan kemampuan dan kapasitas kepemimpinan pemuda yang berwawasan kebangsaan guna berpartisipasi aktif dalam pembangunan nasional di segala bidang.",Organisasi,"Data ini menunjukkan tingkat partisipasi dan kepemimpinan pemuda di Provinsi DKI Jakarta, yang mencerminkan peran aktif pemuda dalam kegiatan sosial, budaya, dan olahraga, serta kemampuan mereka dalam memimpin dan mengembangkan komunitas.",Angka Partisipasi dan Kepemimpinan Pemuda dihitung dari jumlah Pemuda yang aktif dalam organisasi kepemudaan binaan Dinas Pemuda dan Olahraga dibagi jumlah pemuda DKI Jakarta x 100%.,\frac{jumlahPemudayangaktifdalamorganisasikepemudaanbinaan}{jumlahpemudaDKIJakarta}\times100\%,Persentase,Persen,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Fasilitas Olahraga Menurut Jenisnya,Jumlah Fasilitas Olahraga Menurut Jenisnya,Olahraga,"Data ini menunjukkan tingkat ketersediaan fasilitas olahraga, yang dapat membantu dalam meningkatkan partisipasi masyarakat dalam kegiatan olahraga dan meningkatkan kualitas hidup.",Jumlah fasilitas olahraga menurut jenisnya.,Jumlahfasilitasolahragamenurutjenisnya.,Total,Fasilitas,Wilayah,FALSE,Provinsi,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,100294,,Jumlah Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Internasional,Jumlah tenaga keolahragaan Olimpik/Paralimpik yang bersertifikat internasional,Olahraga,"Data ini menunjukkan tingkat kualitas tenaga keolahragaan nasional yang memiliki sertifikat internasional, yang dapat membantu dalam meningkatkan prestasi olahraga dan pengembangan keolahragaan nasional.",Jumlah Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Internasional,JumlahTenagaKeolahragaanOlimpik/ParalimpikyangBersertifikatInternasional,Total,Orang,Wilayah,FALSE,Provinsi,TRUE
