judul_kegiatan,indikator_nama,variabel_pembangun_nama,kegiatan_penghasil
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Persentase Penduduk Berusia 10 (sepuluh) Tahun ke Atas yang Melakukan Olahraga,Persentase Penduduk Berusia 10 (sepuluh) Tahun ke Atas yang Melakukan Olahraga,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Indeks Pembangunan Pemuda (IPP),Indeks Pembangunan Pemuda (IPP),Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal Keolahragaan,Jumlah Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal Keolahragaan,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Persentase Anggota Kepramukaan yang Meningkat Kapasitasnya,Persentase Anggota Kepramukaan yang Meningkat Kapasitasnya,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Persentase Cabang Olahraga yang Berprestasi,Persentase Cabang Olahraga yang Berprestasi,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Kegiatan Olahraga Masyarakat,Jumlah Kegiatan Olahraga Masyarakat,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Masyarakat Aktif Berolahraga,Jumlah Masyarakat Aktif Berolahraga,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Nasional,Jumlah Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Nasional,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Pemuda yang Berhasil dibina,Jumlah Pemuda yang Berhasil dibina,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Organisasi Pemuda yang Aktif dan Jumlah Anggotanya,Jumlah Organisasi Pemuda yang Aktif dan Jumlah Anggotanya,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Talenta Muda,Jumlah Talenta Muda,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Persentase Pemuda Hasil Binaan yang Berprestasi dalam Bidang yang Ditentukan,Persentase Pemuda Hasil Binaan yang Berprestasi dalam Bidang yang Ditentukan,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Jumlah Sentra Pembinaan yang Telah Beroperasi di Daerah sesuai Desain Besar Olahraga,Jumlah Sentra Pembinaan yang Telah Beroperasi di Daerah sesuai Desain Besar Olahraga,Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta
