judul_kegiatan,nama,konsep,definisi,referensi_waktu
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Fasilitas Olahraga dibawah Koordinasi Dinas Pemuda dan Olahraga,Olahraga,"Daftar fasilitas olahraga yang ada di DKI Jakarta di bawah koordinasi Dinas Pemuda dan Olahraga dengan keterangan terkait lokasi, status ramah difabel, dan akomodasi terhadap cabang olahraga olimpik.",Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Nama Atlet Penerima Penghargaan,Olahraga,Daftar Nama Atlet Penerima Penghargaan.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Atlet Disabilitas,Olahraga,Daftar Nama Atlet Disabilitas.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Atlet Latihan Mahasiswa,Olahraga,Daftar Atlet Pusat Pendidikan dan Latihan Mahasiswa.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Kepemudaan,Organisasi,Daftar Kegiatan Kepemudaan.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Olahraga Masyarakat,Olahraga,Daftar Kegiatan Olahraga Masyarakat.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Nama Atlet Pusat Pelatihan Olahraga Pelajar,Olahraga,Daftar atlet Pusat Pelatihan Olahraga Pelajar (PPOP) Provinsi DKI Jakarta yang mencakup talenta muda/olahragawan dengan potensi prestasi di tingkat internasional.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Pemuda yang Berhasil dibina,Organisasi,Data Pemuda yang berhasil dibina.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Masyarakat Aktif Berolahraga Provinsi DKI Jakarta,Olahraga,Data Masyarakat aktif berolahraga,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Organisasi Pemuda yang Aktif dan Data Anggotanya,Organisasi,Daftar Organisasi Pemuda yang Aktif dan Data Anggotanya.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Cabang Olahraga yang Dibina,Olahraga,Daftar Cabang Olahraga yang Dibina di bawah Koordinasi Dinas Pemuda dan Olahraga Provinsi DKI Jakarta.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Pelatih Bersertifikat,Olahraga,Daftar tenaga keolahragaan bersertifikat (nasional dan/atau internasional) di bawah Koordinasi Dinas Pemuda dan Olahraga Provinsi DKI Jakarta.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Fasilitas Olahraga Menurut Jenisnya,Olahraga,Data Fasilitas Olahraga Menurut Jenisnya.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Lembaga Nonprofit (Organisasi Pemuda dan Olahraga) yang Melayani Rumah Tangga,Olahraga; Organisasi;,Data daftar lembaga nonprofit (organisasi pemuda dan olahraga) yang melayani rumah tangga.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Organisasi Pemuda dan Olahraga,Olahraga; Organisasi;,Data kegiatan organisasi pemuda dan olahraga.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal Keolahragaan,Olahraga; Organisasi;,Data organisasi keolahragaan berbasis Olimpik yang memenuhi standar minimal keolahragaan.,Tahunan
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Internasional,Olahraga,Data tenaga keolahragaan Olimpik/Paralimpik yang bersertifikat internasional.,Tahunan
