judul_kegiatan,ms_keg_id,id_sds,nama,alias,definisi,konsep,referensi_pemilihan,referensi_waktu,ukuran,satuan,tipe_data,aturan_validasi,kalimat_pertanyaan,bisa_diakses_umum
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Daftar Fasilitas Olahraga dibawah Koordinasi Dinas Pemuda dan Olahraga,-,"Daftar fasilitas olahraga yang ada di DKI Jakarta di bawah koordinasi Dinas Pemuda dan Olahraga dengan keterangan terkait lokasi, status ramah difabel, dan akomodasi terhadap cabang olahraga olimpik.",Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Daftar Nama Atlet Penerima Penghargaan,-,Daftar Nama Atlet Penerima Penghargaan.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Atlet Disabilitas,-,Daftar Nama Atlet Disabilitas.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Atlet Latihan Mahasiswa,-,Daftar Atlet Pusat Pendidikan dan Latihan Mahasiswa.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Kegiatan Kepemudaan,-,Daftar Kegiatan Kepemudaan.,Organisasi,KEPGUB 785 TAHUN 2024,Tahunan,Total,Orang,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Kegiatan Olahraga Masyarakat,-,Daftar Kegiatan Olahraga Masyarakat.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,Total,Orang,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Nama Atlet Pusat Pelatihan Olahraga Pelajar,-,Daftar atlet Pusat Pelatihan Olahraga Pelajar (PPOP) Provinsi DKI Jakarta yang mencakup talenta muda/olahragawan dengan potensi prestasi di tingkat internasional.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Pemuda yang Berhasil dibina,-,Data Pemuda yang berhasil dibina.,Organisasi,KEPGUB 785 TAHUN 2024,Tahunan,Total,Orang,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Data Masyarakat Aktif Berolahraga Provinsi DKI Jakarta,-,Data Masyarakat aktif berolahraga,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,Total,Orang,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Daftar Organisasi Pemuda yang Aktif dan Data Anggotanya,-,Daftar Organisasi Pemuda yang Aktif dan Data Anggotanya.,Organisasi,KEPGUB 785 TAHUN 2024,Tahunan,Total,Orang,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Daftar Cabang Olahraga yang Dibina,-,Daftar Cabang Olahraga yang Dibina di bawah Koordinasi Dinas Pemuda dan Olahraga Provinsi DKI Jakarta.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,,,Daftar Pelatih Bersertifikat,-,Daftar tenaga keolahragaan bersertifikat (nasional dan/atau internasional) di bawah Koordinasi Dinas Pemuda dan Olahraga Provinsi DKI Jakarta.,Olahraga,KEPGUB 785 TAHUN 2024,Tahunan,-,-,CHARACTER,HARUS TERISI,-,TRUE
