judul_kegiatan,variabel_nama,value_domain_kode,value_domain_nilai
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Fasilitas Olahraga dibawah Koordinasi Dinas Pemuda dan Olahraga,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Nama Atlet Penerima Penghargaan,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Atlet Disabilitas,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Atlet Latihan Mahasiswa,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Kepemudaan,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Olahraga Masyarakat,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Nama Atlet Pusat Pelatihan Olahraga Pelajar,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Pemuda yang Berhasil dibina,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Masyarakat Aktif Berolahraga Provinsi DKI Jakarta,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Organisasi Pemuda yang Aktif dan Data Anggotanya,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Cabang Olahraga yang Dibina,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Daftar Pelatih Bersertifikat,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Fasilitas Olahraga Menurut Jenisnya,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Lembaga Nonprofit (Organisasi Pemuda dan Olahraga) yang Melayani Rumah Tangga,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Kegiatan Organisasi Pemuda dan Olahraga,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Organisasi Keolahragaan Berbasis Olimpik yang Memenuhi Standar Minimal Keolahragaan,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Internasional,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Talenta Muda,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Fasilitasi Sarana Olahraga Prestasi Berbasis Cabang Olahraga Olimpik,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Sentra Pembinaan yang Telah Beroperasi di Daerah sesuai Desain Besar Olahraga,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Tenaga Keolahragaan Olimpik/Paralimpik yang Bersertifikat Nasional,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Anggota Kepramukaan yang Meningkat Kapasitasnya,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Cabang Olahraga yang Berprestasi,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Pemuda Hasil Binaan yang Berprestasi dalam Bidang yang Ditentukan,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Penduduk Berusia 10 (sepuluh) Tahun ke Atas yang Melakukan Olahraga,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Pembangunan Pemuda (IPP),32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Olahragawan Andalan Nasional pada Cabang Olahraga Olimpik yang Merupakan Alumni Pusat Pelatihan Olahraga Pelajar (PPOP),32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Olahragawan Muda Cabang Olahraga Olimpik pada Olahragawan Andalan Nasional,32010026,Wilayah
Kompilasi Data Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,Data Partisipasi dan Kepemimpinan Pemuda,32010026,Wilayah
