sheet,column_key,label_ui,wajib_draft,wajib_submit,catatan
ms_kegiatan,jenis_statistik,Jenis metadata statistik,ya,ya,Isi STATISTIK_SEKTORAL
ms_kegiatan,rekomendasi_dari_bps,Apakah mendapatkan rekomendasi kegiatan statistik dari BPS?,tidak,ya,TRUE/FALSE
ms_kegiatan,identitas_rekomendasi,Identitas Rekomendasi,kondisional,kondisional,Wajib jika rekomendasi_dari_bps TRUE
ms_kegiatan,judul_kegiatan,Judul Kegiatan,ya,ya,Dipakai untuk verifikasi item paling atas
ms_kegiatan,tahun,Tahun,ya,ya,4 digit
ms_kegiatan,cara_pengumpulan_data,Cara Pengumpulan Data,tidak,ya,"PENCACAHAN_LENGKAP; SURVEI; KOMPILASI_PRODUK_ADMINISTRASI; CARA_LAIN_SESUAI_DENGAN_PERKEMBANGAN_TI"
ms_kegiatan,sektor_kegiatan,Sektor Kegiatan,tidak,ya,Lihat pilihan kode di markdown
ms_kegiatan,produsen_data_id,Instansi Penyelenggara ID,ya,ya,Opsional jika nama unik
ms_kegiatan,produsen_data_name,Instansi Penyelenggara,ya,ya,Automation akan search nama jika ID kosong
ms_kegiatan,unit_eselon1,Eselon 1,tidak,ya,Teks
ms_kegiatan,unit_eselon2,Eselon 2,tidak,ya,Teks
ms_kegiatan,pj_teknis_nama,Nama penanggung jawab teknis,tidak,tidak,Teks
ms_kegiatan,pj_teknis_jabatan,Jabatan penanggung jawab teknis,tidak,ya,Teks
ms_kegiatan,pj_teknis_alamat,Alamat penanggung jawab teknis,tidak,ya,Teks
ms_kegiatan,pj_teknis_telepon,Telepon penanggung jawab teknis,tidak,tidak,Numerik jika diisi
ms_kegiatan,pj_teknis_faksimile,Faksmile penanggung jawab teknis,tidak,tidak,Teks
ms_kegiatan,pj_teknis_email,Email penanggung jawab teknis,tidak,tidak,Format email jika diisi
ms_kegiatan,latar_belakang_kegiatan,Latar Belakang Kegiatan,tidak,ya,Textarea
ms_kegiatan,tujuan_kegiatan,Tujuan Kegiatan,tidak,ya,Textarea
ms_kegiatan,jadwal_perencanaan_awal,Tanggal Mulai Perencanaan,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_perencanaan_akhir,Tanggal Selesai Perencanaan,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_desain_awal,Tanggal Mulai Desain,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_desain_akhir,Tanggal Selesai Desain,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_pengumpulan_awal,Tanggal Mulai Pengumpulan Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_pengumpulan_akhir,Tanggal Selesai Pengumpulan Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_pengolahan_awal,Tanggal Mulai Pengolahan Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_pengolahan_akhir,Tanggal Selesai Pengolahan Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_analisis_awal,Tanggal Mulai Analisis Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_analisis_akhir,Tanggal Selesai Analisis Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_diseminasi_awal,Tanggal Mulai Diseminasi Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_diseminasi_akhir,Tanggal Selesai Diseminasi Data,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_evaluasi_awal,Tanggal Mulai Evaluasi,tidak,ya,YYYY-MM-DD
ms_kegiatan,jadwal_evaluasi_akhir,Tanggal Selesai Evaluasi,tidak,ya,YYYY-MM-DD
ms_kegiatan,kegiatan_ini_dilakukan,Kegiatan Ini Dilakukan,tidak,ya,HANYA_SEKALI atau BERULANG
ms_kegiatan,frekuensi_penyelenggaraan,Frekuensi Penyelenggaraan,tidak,kondisional,Wajib jika BERULANG
ms_kegiatan,tipe_pengumpulan_data,Tipe Pengumpulan Data,tidak,ya,"LONGITUDINAL_PANEL; LONGITUDINAL_CROSS_SECTIONAL; CROSS_SECTIONAL"
ms_kegiatan,cakupan_wilayah,Cakupan Wilayah Pengumpulan Data,tidak,ya,SELURUH_WILAYAH_INDONESIA atau SEBAGIAN_WILAYAH_INDONESIA
ms_kegiatan,metode_wawancara,Wawancara,tidak,ya,TRUE/FALSE; minimal satu metode TRUE
ms_kegiatan,metode_mengisi_sendiri,Mengisi Kuesioner Sendiri,tidak,ya,TRUE/FALSE
ms_kegiatan,metode_pengamatan,Pengamatan,tidak,ya,TRUE/FALSE
ms_kegiatan,metode_pengumpulan_sekunder,Pengumpulan Data Sekunder,tidak,ya,TRUE/FALSE
ms_kegiatan,metode_lainnya,Metode Lainnya,tidak,ya,TRUE/FALSE
ms_kegiatan,metode_lainnya_text,Metode Pengumpulan Data Lainnya,tidak,kondisional,Wajib jika metode_lainnya TRUE
ms_kegiatan,sarana_papi,PAPI,tidak,ya,TRUE/FALSE; minimal satu sarana TRUE
ms_kegiatan,sarana_capi,CAPI,tidak,ya,TRUE/FALSE
ms_kegiatan,sarana_cati,CATI,tidak,ya,TRUE/FALSE
ms_kegiatan,sarana_cawi,CAWI,tidak,ya,TRUE/FALSE
ms_kegiatan,sarana_mail,Mail,tidak,ya,TRUE/FALSE
ms_kegiatan,sarana_lainnya,Sarana Lainnya,tidak,ya,TRUE/FALSE
ms_kegiatan,sarana_lainnya_text,Sarana Pengumpulan Lainnya,tidak,kondisional,Wajib jika sarana_lainnya TRUE
ms_kegiatan,unit_individu,Unit Individu,tidak,ya,TRUE/FALSE; minimal satu unit TRUE
ms_kegiatan,unit_rumah_tangga,Unit Rumah Tangga,tidak,ya,TRUE/FALSE
ms_kegiatan,unit_usaha_perusahaan,Unit Usaha/Perusahaan,tidak,ya,TRUE/FALSE
ms_kegiatan,unit_lainnya,Unit Lainnya,tidak,ya,TRUE/FALSE
ms_kegiatan,unit_lainnya_text,Unit Pengumpulan Data Lainnya,tidak,kondisional,Wajib jika unit_lainnya TRUE
ms_kegiatan,jenis_rancangan_sampel,Jenis Rancangan Sampel,tidak,kondisional,Diisi jika cara_pengumpulan_data SURVEI
