judul_kegiatan,nama_variabel,ms_var_id,status
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Aliran Barang Bandara,308792,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Aliran Barang Pelabuhan,308793,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Pemasangan Rambu-rambu,308794,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Kendaraan Umum,308795,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Terminal Penumpang Angkutan Perairan (Pelabuhan) yang Memenuhi Standar Pelayanan Prima,308796,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Armada Angkutan Perairan,308797,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Perjalanan Penduduk Menggunakan Transportasi Publik,308798,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Titik Integrasi Antarmoda,308799,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Fatalitas Kecelakaan Angkutan Umum,308800,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Retribusi Parkir yang Dikelola,308801,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Terminal Angkutan Jalan,308802,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Badan Usaha Angkutan Perairan yang Sesuai dengan Peraturan Perundang-undangan,308803,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Penumpang Angkutan Umum Berbasis Perairan,308804,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Penindakan Pelanggaran Lalu Lintas dan Angkutan Jalan,308805,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Kecepatan di Ruas Jalan yang Dikenakan Kebijakan Pembatasan Lalu Lintas pada Jam Sibuk,308806,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Arus Kedatangan dan Arus Keberangkatan Angkutan Umum,308807,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Penumpang Angkutan Umum yang Terlayani Perhari,308808,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Lokasi Lampu Penyeberangan Orang,308809,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Lokasi Lampu Lalu Lintas Area Traffic Control System (ATCS) - Area Traffic Control System (ATCS) Terintegrasi Aktif,308810,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Angkutan Massal Bus Rapid Transit,308811,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Lokasi Parkir yang Dikelola,308812,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Layanan Angkutan Umum,308813,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Pelabuhan,308814,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Perkembangan Indikator Pengujian Kendaraan Bermotor (KIR),308815,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Armada Bus Sekolah,308816,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Dermaga Penyeberangan,308819,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Angkutan Massal Perkeretaapian,308818,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Kendaraan Listrik,308820,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Penjualan Karcis Perparkiran,308821,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Rencana Pengembangan Jalur Sepeda,308822,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Jalur Transportasi Umum Berjalur Khusus (Busway),308823,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Alur Transportasi Laut,308824,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Pelanggaran Dimensi dan Daya Angkut Kendaraan Bermotor Angkutan Barang pada Unit Pelaksana Penimbangan Kendaraan Bermotor (Over Load Over Dimention (ODOL),308825,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Sebaran Stasiun Angkutan Berbasis Rel,308826,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,"Prasarana Parkir On Street, Off Street, dan Fasilitas Park and Ride",308827,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Jalur Transportasi Berbasis Rel (Mass Rapid Transit (MRT) dan Light Rail Transit (LRT) Jakarta),308828,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Sebaran Perlintasan Sebidang Jalur Kereta Api,308829,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Bandar Udara (Bandara),308830,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Jalur Pemberlakuan Pembatasan Lalu Lintas,308831,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,"Penumpang Light Rail Transit (LRT) Jakarta, Bogor, Depok, Tangerang, dan Bekasi (Jabodebek)",308832,DRAFT
Kompilasi Data Dinas Perhubungan Provinsi DKI Jakarta,Penumpang yang Diangkut Setiap Hari dan Bus Kota serta Bus yang Beroperasi,308833,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Organisasi Kemasyarakatan Terdaftar di Provinsi DKI Jakarta,308847,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Wilayah Rawan Konflik di Provinsi DKI Jakarta,308848,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Unjuk Rasa di Provinsi DKI Jakarta,308849,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Nama Forum Bentukan Kementerian/Lembaga Pemerintah Pusat,308850,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Sekretariat Partai Politik Tingkat Provinsi DKI Jakarta,308851,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Indeks Demokrasi (IDI) Provinsi DKI Jakarta,308852,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Tawuran dan Konflik di Provinsi DKI Jakarta,308853,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Pasukan Pengibar Bendera Pusaka (Paskibraka) Provinsi DKI Jakarta,308854,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Organisasi Massa yang Terdaftar dan Masih Aktif Menurut Kelurahan di Provinsi DKI Jakarta,308855,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Tawuran Menurut Unsur Pelaku di Provinsi DKI Jakarta,308856,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Pemuda yang Mendapat Penguatan Ideologi Kebangsaan dan Wawasan Kebangsaan,308857,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Indeks Kerukunan Umat Beragama (IKUB) Provinsi DKI Jakarta,308858,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Aspek Kapasitas Lembaga Demokrasi,308859,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Aspek Kebebasan,308860,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Aspek Kesetaraan,308861,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Organisasi Internasional,308862,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Institusi Lokal dengan Jangkauan Global,308863,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Konferensi Politik,308864,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Dimensi Toleransi,308865,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Dimensi Kesetaraan,308866,DRAFT
Kompilasi Data Badan Kesatuan Bangsa dan Politik Provinsi DKI Jakarta,Dimensi Kerja Sama,308867,DRAFT
